画面番号,画面名,レイアウト構成・ポイント
1,Login,中央に大きく「ride」のロゴ。背景は愛車と絶景のシネマティックなループ動画。ボタンは「Googleでログイン」をゴールドで配置。
2,Onboarding,車種（Zephyr χ等）や年式、現在の走行距離（DBの Vehicles 用）を入力。チャットボット形式で「相棒について教えてください」と優しくナビゲート。
3,Home,上部に現在の車両ステータス。中央に巨大な「RIDE START」ボタン。下部には「1時間のおすすめルート」をカード形式でレコメンド。主要３機能の画面に遷移できるボタンがある。
4,Health: Tool,マイクとカメラのハイブリッドUI。 上半分に音波（Waveform）、下半分にカメラビュー。録音中は波形が黄金色に輝く演出。
5,Health: Result,診断結果をレーダーチャートで表示。「正常：98点」などのスコアと、AI Geminiからの「タペット音は安定しています」という一言。
6,Explore: Set,「1h / 2h / 3h」のタイムスライダー。 指でなぞると、地図上の到達可能範囲がリアルタイムに伸縮するインタラクティブな地図。
7,Explore: Guide,走行中のナビ画面。画面隅に**「太陽のアイコン」**を表示し、現在の光の向きをガイド。「今、左斜め後ろから撮ると最高です」と通知。
8,Create: Editor,色覚補正UI。 スライダーで「シネマ」「ビンテージ」を選択。カラーヒストグラムをあえて見せ、プロっぽい編集感を演出。
9,Create: Voice,生成された「AIポエム（ナレーション）」をテキストでプレビュー。再生ボタンを押すとElevenLabsの渋い声が流れる。
10,Garage,デジタル・ミュージアム形式。 過去の走行ログをカードで、生成した動画をリール形式で縦に並べる。スクロールするだけでこれまでの旅が蘇る。